num_particles,velocity,forces_x,forces_y,forces_z,radius,yzarea
9.0,0.08578947368421053,2.1184898895795537e-08,5.125103544976109e-08,8.382645961699668e-09,0.0005,4.373027828771075e-06
9.0,0.09052631578947369,1.7437917839209986e-08,4.6355640671431476e-08,-7.873995417065974e-09,0.0005,3.2914243115614254e-06
9.0,0.09526315789473684,2.4722016343775925e-08,5.128361475841226e-08,1.956289114099057e-09,0.0005,3.2890740130219374e-06
9.0,0.1,2.1437588173858334e-08,4.590105593332595e-08,-3.638850356203272e-09,0.0005,2.8406033771516047e-06
10.0,0.01,1.6702277079978729e-09,5.2214007218823464e-08,-1.5155424533076052e-11,0.0005,4.6587424088425315e-06
10.0,0.01473684210526316,2.08417960863314e-09,5.203582441277092e-08,1.0243586953149873e-09,0.0005,3.759956029478909e-06
10.0,0.019473684210526317,2.5710853461836834e-09,5.2392986696885995e-08,4.342245211522155e-10,0.0005,3.2937748514537294e-06
10.0,0.024210526315789474,3.783538862651184e-09,5.273495347120864e-08,-4.906017904905949e-10,0.0005,4.848211481241731e-06
10.0,0.02894736842105263,3.438187883726263e-09,5.2190781249157726e-08,-1.9717681165040564e-10,0.0005,2.9917403175037924e-06
10.0,0.03368421052631579,7.1497084099096014e-09,5.187228048970957e-08,-1.930571164531417e-11,0.0005,5.154947150084601e-06
10.0,0.03842105263157895,1.127478215011048e-08,5.2118428115958845e-08,7.066679345974055e-10,0.0005,4.802775091351292e-06
10.0,0.04315789473684211,9.6068387504394e-09,5.1389054349069764e-08,-1.2624337915291127e-09,0.0005,4.248843190610675e-06
10.0,0.04789473684210527,1.6590411473090298e-08,5.137790568399807e-08,7.840028247165848e-10,0.0005,5.0457238885966094e-06
10.0,0.052631578947368425,1.2886423583446528e-08,5.255985971169816e-08,-1.155787565671092e-10,0.0005,4.210324779850022e-06
10.0,0.05736842105263158,1.157526505457837e-08,5.3604925640620675e-08,-3.8457693508193495e-10,0.0005,4.073343841989827e-06
10.0,0.06210526315789474,2.0688430216191995e-08,5.377640491166409e-08,1.1441945577032131e-10,0.0005,5.10245915632023e-06
10.0,0.0668421052631579,1.9827098702281238e-08,5.2863366765139505e-08,-7.245981736379471e-10,0.0005,4.963127492522175e-06
10.0,0.07157894736842106,2.2511150870015747e-08,5.1533616815969576e-08,9.645528066814174e-10,0.0005,4.550878008802065e-06
10.0,0.07631578947368421,1.3558531821254444e-08,5.3862258063401606e-08,-2.5018350717031896e-09,0.0005,3.205572440203277e-06
10.0,0.08105263157894736,2.2924810047237632e-08,5.4533836627020974e-08,7.035683950165373e-10,0.0005,4.848211665729462e-06
10.0,0.08578947368421053,2.5498831071375272e-08,4.799629112635402e-08,8.816129841994206e-10,0.0005,3.881524040931823e-06
10.0,0.09052631578947369,2.789797832064176e-08,5.0197700097003835e-08,-1.4348435505260599e-09,0.0005,4.848211822326608e-06
10.0,0.09526315789473684,1.873623252678184e-08,5.288355356681175e-08,-6.674342239435298e-10,0.0005,2.8744207925362294e-06
10.0,0.1,2.411608663251916e-08,4.675158158946964e-08,-4.425078193652348e-09,0.0005,3.4016394473048677e-06
11.0,0.01,1.8284105858506406e-09,5.8165462874156094e-08,-2.570990468964444e-10,0.0005,5.544278643032623e-06
11.0,0.01473684210526316,2.7324223268757415e-09,5.75132091559288e-08,-5.665804821669237e-12,0.0005,4.994594663505449e-06
11.0,0.019473684210526317,3.914165675471282e-09,5.6314240357381095e-08,2.448530241325211e-10,0.0005,5.028412145267133e-06
11.0,0.024210526315789474,4.3676315498641015e-09,5.690415144624091e-08,6.287630654087497e-10,0.0005,4.850108865225177e-06
11.0,0.02894736842105263,6.463795905692247e-09,5.781265206527027e-08,-9.539956791225553e-11,0.0005,3.599604872085507e-06
11.0,0.03368421052631579,8.751069959276892e-09,5.717067673149154e-08,-3.798796969203894e-10,0.0005,4.18310656280765e-06
11.0,0.03842105263157895,7.955730056420914e-09,5.7050344145487744e-08,1.6802722761026263e-09,0.0005,4.325240770820201e-06
11.0,0.04315789473684211,8.925421137308148e-09,5.761273257009706e-08,1.2301571373974697e-09,0.0005,4.3730277796199845e-06
11.0,0.04789473684210527,8.851225653223365e-09,5.656630333575717e-08,1.613195900031121e-10,0.0005,4.070993181299237e-06
11.0,0.052631578947368425,1.1961467633063475e-08,5.726241252980275e-08,2.147365038905681e-09,0.0005,4.485139890806003e-06
11.0,0.05736842105263158,1.4496164930710105e-08,5.459937413640787e-08,2.741853802620292e-09,0.0005,4.2599559854063435e-06
11.0,0.06210526315789474,1.1861767259180044e-08,5.595753217650213e-08,1.2184663276178206e-09,0.0005,3.565786118597324e-06
11.0,0.0668421052631579,1.5493098029598815e-08,5.6918773919023024e-08,-1.8320602385388535e-09,0.0005,3.399289071895653e-06
11.0,0.07157894736842106,2.0389352765795762e-08,5.912660083805342e-08,-1.5145026741724278e-09,0.0005,4.2937735480688515e-06
